,diagnosis,num
0,NEWBORN,7718
1,PNEUMONIA,1619
2,SEPSIS,1250
3,CONGESTIVE HEART FAILURE,993
4,CORONARY ARTERY DISEASE,890
5,CHEST PAIN,795
6,INTRACRANIAL HEMORRHAGE,746
7,ALTERED MENTAL STATUS,737
8,GASTROINTESTINAL BLEED,728
9,ABDOMINAL PAIN,595
10,UPPER GI BLEED,590
11,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT /SDA,589
12,FEVER,538
13,S/P FALL,460
14,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT/SDA,459
15,LOWER GI BLEED,455
16,DIABETIC KETOACIDOSIS,453
17,SUBARACHNOID HEMORRHAGE,451
18,HYPOTENSION,426
19,STROKE;TELEMETRY;TRANSIENT ISCHEMIC ATTACK,356
20,SEIZURE,304
21,ACUTE RENAL FAILURE,284
22,SUBDURAL HEMATOMA,273
23,PANCREATITIS,272
24,RESPIRATORY FAILURE,261
25,S/P MOTOR VEHICLE ACCIDENT,248
26,ACUTE CORONARY SYNDROME,239
27,UPPER GASTROINTESTINAL BLEED,239
28,DYSPNEA,238
29,SHORTNESS OF BREATH,237
30,LIVER FAILURE,234
31,CORONARY ARTERY DISEASE\CATH,231
32,BLUNT TRAUMA,227
33,ACUTE SUBDURAL HEMATOMA,214
34,OVERDOSE,204
35,ASTHMA;COPD EXACERBATION,199
36,MYOCARDIAL INFARCTION,179
37,RESPIRATORY DISTRESS,174
38,CHEST PAIN\CATH,174
39,LOWER GASTROINTESTINAL BLEED,172
40,CELLULITIS,171
41,AORTIC STENOSIS\AORTIC VALVE REPLACEMENT /SDA,169
42,ANEMIA,167
43,ACUTE MYOCARDIAL INFARCTION,158
44,UNSTABLE ANGINA,155
45,HEAD BLEED,155
46,URINARY TRACT INFECTION;PYELONEPHRITIS,141
47,AORTIC DISSECTION,139
48,HYPOXIA,138
49,GI BLEED,138
50,CARDIAC ARREST,137
51,BRAIN MASS,131
52,WEAKNESS,130
53,SMALL BOWEL OBSTRUCTION,128
54,CHOLANGITIS,125
55,HYPONATREMIA,123
56,HEMOPTYSIS,120
57,MYOCARDIAL INFARCTION\CATH,115
58,UROSEPSIS,114
59,STEMI,113
60,PULMONARY EMBOLIS,112
61,STROKE/TIA,111
62,BOWEL OBSTRUCTION,109
63,CHEST PAIN;TELEMETRY,108
64,ST ELEVATED MYOCARDIAL INFARCTION,107
65,BRADYCARDIA,107
66,CHOLECYSTITIS,107
67,DEHYDRATION,103
68,ETOH WITHDRAWAL,101
69,PERICARDIAL EFFUSION,97
70,ABDOMINAL AORTIC ANEURYSM/SDA,96
71,ACUTE MYOCARDIAL INFARCTION\CATH,94
72,SYNCOPE;TELEMETRY,93
73,PREMATURITY,93
74,SUBDURAL HEMORRHAGE,91
75,INTRAPARENCHYMAL HEMORRHAGE,90
76,CEREBROVASCULAR ACCIDENT,88
77,ESOPHAGEAL CA/SDA,87
78,PLEURAL EFFUSION,86
79,ABDOMINAL AORTIC ANEURYSM,86
80,UNSTABLE ANGINA\CATH,83
81,STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES,82
82,RENAL FAILURE,81
83,TRAUMA,80
84,BRAIN TUMOR/SDA,79
85,AORTIC STENOSIS,79
86,HYPERBILIRUBINEMIA,78
87,STROKE;TELEMETRY,77
88,ASTHMA/COPD EXACERBATION,77
89,+ETT\CATH,76
90,ASTHMA;CHRONIC OBST PULM DISEASE,76
91,SEIZURES,76
92,PULMONARY EMBOLISM,76
93,ENDOCARDITIS,74
94,HYPERKALEMIA,74
95,UNRESPONSIVE,72
96,FAILURE TO THRIVE,71
97,NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION,70
98,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,70
99,INTRACRANIAL BLEED,69
100,HYPOGLYCEMIA,67
101,AORTIC STENOSIS\AORTIC VALVE REPLACEMENT/SDA,65
102,STROKE,64
103,HIP FRACTURE,64
104,HEADACHE,63
105,SYNCOPE,63
106,ANGIOEDEMA,62
107,COPD EXACERBATION,61
108,S/P CARDIAC ARREST,61
109,ESOPHAGEAL CANCER/SDA,61
110,HYPERGLYCEMIA,59
111,MORBID OBESITY/SDA,57
112,PULMONARY EDEMA,57
113,MENTAL STATUS CHANGES,56
114,ATRIAL FIBRILLATION,56
115,COMPLETE HEART BLOCK,56
116,CEREBRAL ANEURYSM/SDA,55
117,RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,53
118,VENTRICULAR TACHYCARDIA,51
119,HEPATIC ENCEPHALOPATHY,51
120,WOUND INFECTION,51
121,HYPERTENSIVE EMERGENCY,51
122,PNEUMONIA;TELEMETRY,49
123,CHEST PAIN\CARDIAC CATH,49
124,TYLENOL OVERDOSE,48
125,ANEURYSM/SDA,47
126,PEDESTRIAN STRUCK,47
127,PANCREATIC MASS/SDA,46
128,PULMONARY EMBOLUS,46
129,AIRWAY OBSTRUCTION,46
130,COLITIS,46
131,POLYTRAUMA,46
132,HYPERTENSION,45
133,HEAD INJURY,45
134,ALCOHOL WITHDRAWAL,45
135,URINARY TRACT INFECTION,44
136,SEPSIS;TELEMETRY,44
137,STATUS EPILEPTICUS,41
138,HYPERTENSIVE URGENCY,41
139,TRACHEAL STENOSIS,41
140,END STAGE LIVER DISEASE,41
141,CIRRHOSIS,40
142,CHRONIC OBST PULM DISEASE,40
143,LYMPHOMA,40
144,LUNG CA/SDA,40
145,SAH,40
146,BACK PAIN,40
147,LEUKEMIA,39
148,VARICEAL BLEED,39
149,LIVER LACERATION,39
150,CORONARY ARTERY DISEASE\CARDIAC CATH,38
151,SCOLIOSIS/SDA,38
152,AORTIC STENOSIS\AORTIC VALVE REPLACEMENT ,38
153,AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,37
154,GUN SHOT WOUND,37
155,PELVIC FRACTURE,37
156,SEPTIC SHOCK,36
157,STROKE-TRANSIENT ISCHEMIC ATTACK,36
158,SPLENIC LACERATION,36
159,RULE-OUT MYOCARDIAL INFARCTION,36
160,MOTOR VEHICLE ACCIDENT,35
161,INTRACRANIAL HEMORRHAGE;TELEMETRY,34
162,BRAIN TUMOR,34
163,S/P PEDESTRIAN STRUCK,34
164,LUNG CANCER/SDA,34
165,ASPIRATION PNEUMONIA,33
166,ENCEPHALOPATHY,33
167,UTI/PYELONEPHRITIS,33
168,CONGESTIVE HEART FAILURE\CATH,32
169,STERNAL WOUND INFECTION,32
170,MOTOR VEHICLE ACCIDENT WITH UNSPECIFIED INJURIES,32
171,LUMBAR STENOSIS/SDA,31
172,ASTHMA,31
173,GASTROINTESTINAL BLEED;TELEMETRY,31
174,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT ,31
175,SUBARACHNOID HEMATOMA,30
176,PELVIC MASS/SDA,30
177,BRAIN MASS/SDA,30
178,NON Q MI\CATH,30
179,HEMATURIA,29
180,TACHYCARDIA,29
181,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT,29
182,FEMUR FRACTURE,29
183,AORTIC STENOSIS\CATH,29
184,HEART FAILURE,29
185,BACTEREMIA,28
186,ANGINA\CATH,28
187,MULTIPLE TRAUMA,28
188,PNEUMOTHORAX,28
189,CAD,28
190,ICH,28
191,LUNG CANCER,28
192,BRAIN ANEURYSM/SDA,28
193,ETOH INTOXICATION,28
194,HEAD TRAUMA,27
195,ASTHMA EXACERBATION,27
196,EPIDURAL ABSCESS,27
197,CONGESTIVE HEART FAILURE;TELEMETRY,27
198,CORONARY ARTERY DISEASE\ANGIOPLASTY,27
199,S/P ARREST,27
200,DIVERTICULITIS,27
201,MOTOR VEHICLE ACCIDENT\INJURIES,27
202,MENINGITIS,27
203,BRIGHT RED BLOOD PER RECTUM,26
204,VENTRAL HERNIA/SDA,26
205,ANEURYSM,26
206,CAROTID STENOSIS\CAROTID ANGIOGRAM,26
207,ASCITES,26
208,MITRAL REGURGITATION,26
209,S/P ASSAULT,26
210,ACUTE LEUKEMIA,25
211,CHRONIC RENAL FAILURE/SDA,25
212,HEMOTHORAX,25
213,MR\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH/SDA,25
214,CARDIOGENIC SHOCK,25
215,FALL,24
216,S/P FALL;TELEMETRY,24
217,EPIDURAL HEMATOMA,24
218,DRUG REFRACTORY ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION  **REMOTE WEST**/SDA,24
219,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR /SDA,24
220,CAROTID STENOSIS/SDA,24
221,RETROPERITONEAL BLEED,24
222,UPPER GI BLEED;TELEMETRY,24
223,BLADDER CANCER/SDA,24
224,ACUTE MYOCARDIAL INFARCTION\CARDIAC CATH,23
225,HYDROCEPHALUS,23
226,STAB WOUND,23
227,HEART BLOCK,23
228,HYPOTHERMIA,23
229,CHRONIC RENAL FAILURE,23
230,MYOCARDIAL INFARCTION\CARDIAC CATH,22
231,CHANGE IN MENTAL STATUS,22
232,HEAD MASS,22
233,JAUNDICE,22
234,CHEST PAIN;+ETT\CATH,22
235,RESPIRATORY ARREST,22
236,TRACHEOBRONCHOMALACIA/SDA,22
237,ANGINA,22
238,CVA,21
239,LIVER TRANSPLANT,21
240,S/P MVA,21
241,DEEP VEIN THROMBOSIS,21
242,CHF EXACERBATION,21
243,UNSTABLE ANGINA\LEFT HEART CATHETERIZATION,20
244,NECROTIZING PANCREATITIS,20
245,"STROKE,TRANSIENT ISCHEMIC ATTACK",20
246,END STAGE RENAL DISEASE,20
247,ST ELEVATION MI,20
248,S/P MI\CATH,20
249,MENINGIOMA/SDA,20
250,PERFORATED BOWEL,20
251,HEPATIC FAILURE,20
252,R/O MI,20
253,DIARRHEA,20
254,LIVER MASS/SDA,20
255,MITRAL STENOSIS\MITRAL VALVE REPLACEMENT /SDA,20
256,CONGESTIVE HEART FAILURE;PNEUMONIA,20
257,CLAUDICATION/SDA,20
258,STROKE;TIA,20
259,CEREBRAL VASCULAR ACCIDENT,20
260,ACUTE MI,19
261,PNEUMONIA;SEPSIS,19
262,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; WITH AVR/SDA,19
263,ISCHEMIC BOWEL,19
264,GALLSTONE PANCREATITIS,19
265,INTRACEREBRAL HEMORRHAGE,19
266,INTERCRANIAL HEMORRHAGE,19
267,MESENTERIC ISCHEMIA,19
268,BLADDER CA/SDA,19
269,DIVERTICULITIS/SDA,19
270,CAROTID STENOSIS,19
271,COPD FLARE,19
272,ABSCESS,19
273,FEBRILE NEUTROPENIA,19
274,AORTIC ANEURYSM,18
275,THROMBOCYTOPENIA,18
276,ACUTE PANCREATITIS,18
277,THORACIC ANEURYSM/SDA,18
278,HEPATITIS,18
279,APPENDICITIS,18
280,PULMONARY EMBOLI,17
281,"ASTHMA,COPD EXACERBATION",17
282,VOMITING,17
283,ACUTE LIVER FAILURE,17
284,ALTERED MENTAL STATUS;TELEMETRY,17
285,(AML) ACUTE MYELOGENOUS LEUKEMIA,17
286,C2 FRACTURE,17
287,TYLENOL OD,17
288,S/P MOTORCYCLE ACCIDENT,17
289,MR\MITRAL VALVE REPLACEMENT/SDA,17
290,FEVER;HYPOTENSION,17
291,BOWEL PERFORATION,17
292,SUBARACHNOID HEMORRHAGE;TELEMETRY,17
293,ACUTE CORONARY SYNDROME\CATH,17
294,SUB ARACHNOID HEMORRHAGE,17
295,NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION\CATH,17
296,INCISIONAL HERNIA/SDA,17
297,ABDOMINAL ABSCESS,17
298,TRANSIENT ISCHEMIC ATTACK,17
299,CEREBRAL ANEURYSM,16
300,SOB,16
301,TRACHEAL STENOSIS/SDA,16
302,HEMATOMA,16
303,MENTAL STATUS CHANGE,16
304,ANAPHYLAXIS,16
305,UNSTABLE ANGINA\CARDIAC CATH,16
306,NON ST ELEVATION MI,16
307,HEMATEMESIS,16
308,FEVER OF UNKNOWN ORIGIN,16
309,IMI,16
310,SUBDURAL BLEED,16
311,DIABETIC KETOACIDOSIS;TELEMETRY,16
312,INTRACRANIAL MASS,16
313,UNSTABLE ANGINA;TELEMETRY\CATH,16
314,"MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE /SDA",16
