Feature_1,Feature_2,Correlation
age,age,1.0
gender,age,0.05341260616501954
ethnicity,age,0.08346222603060192
marital_DIVORCED,age,-0.0650775964764184
marital_MARRIED,age,0.1318083749002875
marital_SEPARATED,age,0.008957767556211221
marital_SINGLE,age,-0.3549807276162729
marital_WIDOWED,age,0.26163239118876674
icu_duration_hour,age,-0.04821794179902263
icu_times,age,-0.05840559516223752
icu_times_total,age,-0.08596719856653859
icu_times_sepsis,age,0.00247541440137141
icu_times_total_sepsis,age,0.00247541440137141
Comorbidity,age,-0.0051058175091757375
glu_min,age,0.013259275137868023
glu_max,age,0.04022437120243376
glu_avg,age,0.06718475086446793
figglu_min,age,0.01057569289321314
figglu_max,age,0.042700263323890084
figglu_avg,age,0.06311304827581136
pot_min,age,-0.0073978343018144994
pot_max,age,0.0019013941491845996
pot_avg,age,0.007900283123141491
sod_min,age,0.1398867253899231
sod_max,age,0.12003741804169062
sod_avg,age,0.15456470921584103
hem_min,age,0.0604827123333573
hem_max,age,0.028125324575797292
hem_avg,age,0.06898817175558217
chl_min,age,0.14219426001809796
chl_max,age,0.1028470333455124
chl_avg,age,0.1409321365214516
bun_min,age,0.17079097381865282
bun_max,age,0.08738930410307237
bun_avg,age,0.1430506694581151
cre_min,age,-0.08628156358514141
cre_max,age,-0.09910141928049833
cre_avg,age,-0.11614046415813963
hemo_min,age,0.04930799638301279
hemo_max,age,-0.0030236899993916575
hemo_avg,age,0.03180180247157351
car_min,age,-0.00024365170514681683
car_max,age,-0.053125234988489325
car_avg,age,-0.03242727639176704
rbc_min,age,0.04013194903844414
rbc_max,age,-0.02546695904906612
rbc_avg,age,0.026565752234978403
pla_min,age,0.08492141888734941
pla_max,age,0.0031444328359895705
pla_avg,age,0.04961581226380233
wbc_min,age,0.0672226289059803
wbc_max,age,0.016421602839302607
wbc_avg,age,0.050760726698282896
hea_min,age,-0.10018565081367724
hea_max,age,-0.028448946768155146
hea_avg,age,-0.14642206736796157
mag_min,age,0.0803489899062462
mag_max,age,0.03734032902189819
mag_avg,age,0.06981570305545733
res_min,age,0.048566535013375614
res_max,age,0.004176210482512193
res_avg,age,0.03138549545823415
spo_min,age,-0.05298897290834583
spo_max,age,-0.04560570362999597
spo_avg,age,-0.0381698840181633
spo_alarms,age,-0.03196027457966951
temp_min,age,-0.03261612467890807
temp_max,age,-0.1976192238475126
temp_avg,age,-0.21231184656640756
hear_mode_1st Deg AV Block,age,0.04350510990687181
hear_mode_A Paced,age,0.03887640332252797
hear_mode_AV Paced,age,0.06579151291790027
hear_mode_Atrial Fib,age,0.2006819307480894
hear_mode_Atrial Flutter,age,0.027892487749474296
hear_mode_Junctional,age,0.04771179178979136
hear_mode_MultFocalAtrTach,age,0.04627111895007301
hear_mode_Normal Sinus,age,-0.059558366899097534
hear_mode_Parox Atr Tachy,age,0.027497351007492774
hear_mode_Sinus Brady,age,-0.008817778617102945
hear_mode_Sinus Tachy,age,-0.20136661060512623
hear_mode_V Paced,age,0.1020571064097327
hear_last_1st Deg AV Block,age,0.05750405385135968
hear_last_2nd AVB Mobitz 2,age,0.010501913601439972
hear_last_A Paced,age,0.031759715797424794
hear_last_AV Paced,age,0.07021443035488024
hear_last_Asystole,age,0.025699280311051717
hear_last_Atrial Fib,age,0.17084380998071586
hear_last_Atrial Flutter,age,0.051192265139391714
hear_last_Comp Heart Block,age,0.004109978389637791
hear_last_Idioventricular,age,0.03814184659653916
hear_last_Junctional,age,0.06851421734401604
hear_last_MultFocalAtrTach,age,0.04627111895007301
hear_last_Normal Sinus,age,-0.10757517038082548
hear_last_Other/Remarks,age,-0.010271809485915323
hear_last_Sinus Brady,age,-0.018421063063046684
hear_last_Sinus Tachy,age,-0.13108368601098971
hear_last_Supravent Tachy,age,0.024908641998623932
hear_last_V Paced,age,0.09217076881509095
died_immediately,age,0.09866617855987136
age,gender,0.05341260616501954
gender,gender,1.0
ethnicity,gender,-0.010926329269217772
marital_DIVORCED,gender,0.07811607270420555
marital_MARRIED,gender,-0.16236041673429932
